created_at;id_str;full_text;retweet_count;favorite_count
20191027 102146;1188400389697212416;As Diwali commences, @FLOTUS Melania and I wish those observing the Festival of Lights a blessed and happy celebration! #HappyDiwali .coLGXkUzMJiI;28788;135840
20191027 012339;1188264965930700801;Something very big has just happened!;75571;370325
20191026 202634;1188190202851926019;....Matt has my Complete and Total Endorsement, and always has. GET OUT and VOTE on November 5th for your GREAT Governor, @MattBevin!;12662;53119
20191026 202634;1188190202004754432;Governor @MattBevin has done a wonderful job for the people of Kentucky! He continues to protect your very important Second Amendment. Matt is Strong on Crime and the Border, he Loves our Great Vets and Military....;15568;65364
20191026 202004;1188188568654696448;....He loves our Military and supports our Vets! Democrat Jim Hood will never give us his vote, is antiTrump and proCrooked Hillary. Get out and VOTE for Tate Reeves on November 5th. He has my Complete and Total Endorsement!;13802;55501
20191026 202004;1188188567773822977;MISSISSIPPI! There is a VERY important election for Governor on November 5th. I need you to get out and VOTE for our Great Republican nominee, @TateReeves. Tate is Strong on Crime, tough on Illegal Immigration, and will protect your Second Amendment....;19451;70702
20191026 201718;1188187872114946054;....Our Republican candidate @EddieRispone is a successful conservative businessman who will stand with me to create jobs and protect your Second Amendment. GET OUT AND VOTE for Eddie, the next Governor of the GREAT State of Louisiana!;14777;53789
20191026 201718;1188187870877618176;LOUISIANA! Extreme Democrat John Bel Edwards has sided with Nancy Pelosi and Chuck Schumer to support Sanctuary Cities, High Taxes, and Open Borders. He is crushing Louisianas economy and your Second Amendment rights....;22537;77073
20191026 144301;1188103745525243904;Wheres the Whistleblower?;28684;134170
20191026 144118;1188103311653769216;The Fake Washington Post keeps doing phony stories, with zero sources, that I am concerned with the Impeachment scam. I am not because I did nothing wrong. It is the other side, including Schiff and his made up story, that are concerned. Witch Hunt continues!;27126;111460
20191026 135433;1188091546513616897;My Administration is fighting hard to end the Opioid Crisis. Join with us by disposing unused or expired prescription medications at over 4,000 locations across this great Country. Find a location TODAY from 10am2pm at .coCXK0LFpGMD. #TakeBackDay .coxBEyflYYGj;14781;58372
20191026 121829;1188067370478309378;....;14246;52485
20191026 121828;1188067369501052929;....greatly help the African American community and all other communities, and which was unable to get done in past administrations despite a tremendous desire for it. This and best unemployment numbers EVER is more than Kamala will EVER be able to do for African Americans!;17122;73622
20191026 121828;1188067368620167168;Badly failing presidential candidate @KamalaHarris will not go to a very wonderful largely African American event today because yesterday I recieved a major award, at the same event, for being able to produce amp sign into law major Criminal Justice Reform legislation, which will..;25749;100794
20191026 114409;1188058730685972480;The Ukraine investigation is just as Corrupt and Fake as all of the other garbage that went on before it. Even Shifty Schiff got caught cheating when he made up what I said on the call!;20352;85329
20191026 112904;1188054937839775744;....We should all work together to clean up these hazardous waste and homeless sites before the whole city rots away. Very bad and dangerous conditions, also severely impacting the Pacific Ocean and water supply. Pelosi must work on this mess and turn her District around!;19578;82101
20191026 112904;1188054936942198784;I cant believe that Nancy Pelosis District in San Francisco is in such horrible shape that the City itself is in violation of many sanitary amp environmental orders, causing it to owe the Federal Government billions of dollars  and all she works on is Impeachment.....;31187;120349
20191026 112309;1188053446215323650;Not a single American citizen has been charged with anything related to Russian Collusion, not one person. @TuckerCarlson  It was all an illegal Witch Hunt!;18304;74175
20191026 112115;1188052969813614592;Had a beautiful dinner last night at Camp David in celebration of the 10th Wedding Anniversary of Ivanka and Jared. Attended by a small number of family and friends, it could not have been nicer. Camp David is a special place. Cost of the event will be totally paid for by me!;23981;123714
20191026 110232;1188048259627081728;...Thank you @foxandfriends! Hopefully this is just the beginning of a massive story of injustice and treason. You will never learn this from the corrupt LameStream Media who get Pulitzer Prizes for reporting the story totally wrong. The ones who report it right get only RESPECT!;15455;60577
20191026 110232;1188048258255540224;..the President when Flynn had been cleared of everything long before that. The DOJ is withholding a lot of evidence amp information, as are Clapper amp Brennan amp all of the people who participated in the complete setup of Michael Flynn.Terrible! Sidney Powell. This is a disgrace!;15107;58575
20191026 110232;1188048257177587712;....They exonerated him completely of being an agent of Russia Recently Crooked Hillary charged Tulsi Gabbard amp Jill Stein with the same thingSICK, and yet Mr. Comey still runs to the White House on February 14 and conjures up the Obstruction of Justice narrative against.....;8708;27664
20191026 110231;1188048255797608449;General Michael Flynns attorney is demanding that charges be immediately dropped after they found that FBI Agents manipulated records against him. They say that James Clapper told a reporter to take a kill shot at Flynn. This has been a complete setup of Michael Flynn....;29753;93345
20191026 033954;1187936868299608065;My Administration is fighting hard to end the Opioid Crisis. Join with us by disposing unused or expired prescription medications at over 4,000 locations across this great Country. Find a location TOMORROW, October 26th from 10am2pm at .coCXK0LFpGMD. #TakeBackDay .coDvgrxZoLzp;13869;52534
20191026 032834;1187934016235888641;.coo6mk8orgrC .coiUD808JXyt;10842;38934
20191026 022314;1187917572102078465;.cozDEOQfpvk1 .coBxpt7nQTjG;15460;58088
20191025 234048;1187876694859882503;Great Book! .coHYO77j6KRT;8906;36752
20191025 233942;1187876420342689792;Wow! .colF3WUjiqHs;15603;52320
20191025 233342;1187874908660998144;My lawyers should sue the Democrats and Shifty Adam Schiff for fraud!;26077;132463
20191025 233035;1187874124976271362;....The entire Impeachment Scam was based on my perfect Ukrainian call, and the Whistleblowers account of that call, which turned out to be false a fraud?. Once I released the actual call, their entire case fell apart. The Democrats must end this Scam now. Witch Hunt!;15881;67040
20191025 233035;1187874122279337987;Democrats just announced that they no longer want the Whistleblower to testify. But everything was about the Whistleblower they no longer want the second Whistleblower either, which they dont want because the account of my call bore NO RELATIONSHIP to the call itself.....;21561;86823
20191025 223916;1187861209942495234;To Tim The Button on the IPhone was FAR better than the Swipe!;31395;141372
20191025 211026;1187838852255244288;....in the basement of the United States Capitol! They cannot win at the ballot box. Their sham for the past 3 years continues. The good news is that the American People get it, which will be proven once again on November 3, 2020!;13602;58262
20191025 211025;1187838848732020737;I appreciate the support of Senator @LindseyGraham, @SenateMajLdr Mitch McConnell, and their Great Senate Republican colleagues, on the resolution condemning the Do Nothing Democrats for their Witch Hunt Impeachment inquiry, behind closed doors....;16001;69511
20191025 195143;1187819045690773504;It was my great honor to deliver the keynote address at the 2019 Second Step Presidential Justice Forum hosted by the 2020 Bipartisan Justice Center in South Carolina, and my true honor to receive the Bipartisan Justice Award, thank you! .couF9IWnI1pH;17908;64631
20191025 175725;1187790279765647361;Thank you @robertjeffress! .coo6mk8orgrC;10254;40556
20191025 173021;1187783467389444096;Heading to South Carolina! .coCORtaPJq9p;13338;69367
20191025 125424;1187714024378646531;Donald J. Trump is an absolutely historic President already, in less than 3 years in office. His record is there for everyone to look at amp to examine and compare. This is an illegitimate effort to overthrow a President, not a formal Impeachment inquiry. @LouDobbs  Thank you Lou;23636;94030
20191025 123206;1187708412685107200;....COMING HOME! We were supposed to be there for 30 days  That was 10 years ago. When these pundit fools who have called the Middle East wrong for 20 years ask what we are getting out of the deal, I simply say, THE OIL, AND WE ARE BRINGING OUR SOLDIERS BACK HOME, ISIS SECURED!;12486;53425
20191025 123206;1187708411309375488;....USA has gained Trillions of Dollars in wealth since November 2016. All others way down. Our power is Economic before having to use our newly rebuilt Military, a much better alternative. Oil is secured. Our soldiers have left and are leaving Syria for other places, then....;10613;47427
20191025 123206;1187708410579603461;Turkey fully understands not to fire on the Kurds as they leave what will be known as the Safe Zone for other fairly nearby areas. I dont have to repeat that large scale Sanctions will be imposed for violations. Going well! ISIS secured by Kurds with Turkey ready as backup.....;14963;64733
20191025 121558;1187704353324503040;So Congressman Tim Ryan of Ohio has finally dropped out of the race for President, registering ZERO in the polls amp unable to even qualify for the debate stage. See Tim, its not so easy out there if you dont know what youre doing. He wasnt effective for USA workers, just talk!;12987;60467
20191025 121223;1187703447744843776;Another big dropout of the Presidential race was, along with 0 Tim Ryan, 0 @RepSwalwell. Such talk and bravado from both, and nothing to show. They stood for nothing, and the voters couldnt stand by them. Obnoxious and greedy politicians never make it in the end!;16076;70121
20191025 015232;1187547459700121600;Where is the Whistleblower, and why did he or she write such a fictitious and incorrect account of my phone call with the Ukrainian President? Why did the IG allow this to happen? Who is the socalled Informant Schiff? who was so inaccurate? A giant Scam!;32680;134314
20191024 154847;1187395521805275137;I really enjoyed my conversation with General @MazloumAbdi. He appreciates what we have done, and I appreciate what the Kurds have done. Perhaps it is time for the Kurds to start heading to the Oil Region!;15811;65228
20191024 152523;1187389630271934464;The Oil Fields discussed in my speech on TurkeyKurds yesterday were held by ISIS until the United States took them over with the help of the Kurds. We will NEVER let a reconstituted ISIS have those fields!;17904;73649
20191024 142854;1187375419022069761;Thank you to House Republicans for being tough, smart, and understanding in detail the greatest Witch Hunt in American History. It has been going on since long before I even got Elected the Insurance Policy!. A total Scam!;24595;104111
20191024 142002;1187373187820130306;The Federal Reserve is derelict in its duties if it doesnt lower the Rate and even, ideally, stimulate. Take a look around the World at our competitors. Germany and others are  actually GETTING PAID to borrow money. Fed was way too fast to raise, and way too slow to cut!;22565;84295
20191024 044013;1187227271935021057;Dont hurt them please! .cocKVa2HlJQb;16073;68510
20191024 043245;1187225389892022273;It is the only thing the Do Nothing Dems are doing! .cooqeetDNKzD;9578;39618
20191024 042933;1187224585663635456;Just a continuation of the Witch Hunt! .coTTCXcg0jdU;12481;46867
20191024 042027;1187222295556874241;Kiddingly Were building a Wall in Coloradothen stated, were not building a Wall in Kansas but they get the benefit of the Wall were building on the Border refered to people in the very packed auditorium, from Colorado amp Kansas, getting the benefit of the Border Wall!;14323;68772
20191023 211933;1187116372997922821;PROMISES MADE, PROMISES KEPT! #SHALEINSIGHT2019 .cokCkw3K8k5o;17471;68412
20191023 211206;1187114497384898560;It was wonderful to be back in Pittsburgh, Pennsylvania with the incredible Patriots who fuel our factories, light up our homes, power our industries and fill our hearts with true American Pride! #SHALEINSIGHT2019 .cohWmN7zNud3;14777;53321
20191023 190102;1187081515051601920;It would be really great if the people within the Trump Administration, all wellmeaning and good I hope!, could stop hiring Never Trumpers, who are worse than the Do Nothing Democrats. Nothing good will ever come from them!;25231;98360
20191023 185844;1187080935373713408;....Does anybody think this is fair? Even though there was no quid pro quo, Im sure they would like to try. Worse than the Dems!;11565;48590
20191023 185841;1187080923961012228;Never Trumper Republican John Bellinger, represents Never Trumper Diplomat Bill Taylor who I dont know, in testimony before Congress! Do Nothing Democrats allow Republicans Zero Representation, Zero due process, and Zero Transparency....;17450;66693
20191023 174840;1187063301731209220;The Never Trumper Republicans, though on respirators with not many left, are in certain ways worse and more dangerous for our Country than the Do Nothing Democrats. Watch out for them, they are human scum!;28514;105147
20191023 163523;1187044861725286400;Thank you General Mazloum for your kind words and courage. Please extend my warmest regards to the Kurdish people. I look forward to seeing you soon. @mustefabali;14775;60628
20191023 160600;1187037466261446656;.co7Ud0WLyo4g;10598;35151
20191023 124013;1186985677176655872;Wheres the Whistleblower?;28239;131470
20191023 123920;1186985455058898945;Big success on the TurkeySyria Border. Safe Zone created! Ceasefire has held and combat missions have ended. Kurds are safe and have worked very nicely with us. Captured ISIS prisoners secured. I will be making a statement at 1100 A.M. from the White House. Thank you!;21645;81295
20191023 122922;1186982949180317697;....feel EMPOWERED. Theres a movement happening on these campuses like Ive never seen before. When you have 3000 students wanting to get into an event that couldnt get in, thats pretty remarkable!  @charliekirk11 Turning Point USA   KEEP AMERICA GREAT!;12234;49529
20191023 122922;1186982948404449280;....Order a couple of months ago saying that any school that does not uphold the First Amendment Rights of its students will lose Federal Funding. We have seen a huge change in how the Universities interact with us as a national amp local student organization. Our studends....;11579;48682
20191023 122922;1186982946336624640;Young campus Conservatives are flocking to Turning Point USA amp other Conservative speaker events all over the Country, AND IN RECORD NUMBERS. Thousands of students are turning out. I just want to compliment the President of the United States for signing that historic Executive..;19272;77133
20191023 113627;1186969632944611335;Republicans are going to fight harder than ever to win back the House because of what the Do Nothing Democrats have done to our Country!;20960;90826
20191023 113216;1186968579125792768;Neither he Taylor or any other witness has provided testimony that the Ukrainians were aware that military aid was being withheld. You cant have a quid pro quo with no quo. Congressman John Ratcliffe @foxandfriends Where is the Whistleblower? The Do Nothing Dems case is DEAD!;17228;62622
20191023 105602;1186959459878350848;It never ends. The Do Nothing Dems are terrible! .col7Qk0WU8ML;11943;43789
20191023 041514;1186858593364172800;Thank you Steve! .coROfsFdSGZO;8351;35046
20191023 041038;1186857437657214976;The Democrats Scam goes on and on! They Do Nothing! .co4ER1m6e39s;10172;37773
20191023 040835;1186856923636948993;The Witch Hunt continues! .copBzhZfJEYb;11153;39525
20191023 040707;1186856554055852035;The Do Nothing Dems have nothing but time! .cog9wsBfk16W;10775;37741
